X,Y,Z,formation
431215.754,7785829.449,-2905.49,top
431515.754,7785829.449,-2925.77,top
432015.754,7785829.449,-2965.06,top
432515.754,7785829.449,-3004.24,top
433015.754,7785829.449,-3043.23,top
433515.754,7785829.449,-3081.96,top
434015.754,7785829.449,-3120.3,top
434515.754,7785829.449,-3158.1,top
435015.754,7785829.449,-3195.17,top
435515.754,7785829.449,-3231.31,top
436015.754,7785829.449,-3266.31,top
436515.754,7785829.449,-3299.94,top
437015.754,7785829.449,-3332.0,top
437515.754,7785829.449,-3362.33,top
438015.754,7785829.449,-3390.76,top
438515.754,7785829.449,-3417.17,top
439015.754,7785829.449,-3441.47,top
439515.754,7785829.449,-3463.6,top
440015.754,7785829.449,-3483.48,top
440515.754,7785829.449,-3501.03,top
441015.754,7785829.449,-3516.28,top
441515.754,7785829.449,-3529.5,top
442015.754,7785829.449,-3541.11,top
442515.754,7785829.449,-3551.54,top
443015.754,7785829.449,-3561.3,top
443515.754,7785829.449,-3570.87,top
444015.754,7785829.449,-3580.71,top
444515.754,7785829.449,-3591.4,top
445015.754,7785829.449,-3603.6,top
445515.754,7785829.449,-3618.0,top
446015.754,7785829.449,-3635.11,top
446515.754,7785829.449,-3655.11,top
447015.754,7785829.449,-3677.75,top
447515.754,7785829.449,-3702.41,top
448015.754,7785829.449,-3728.31,top
448515.754,7785829.449,-3754.59,top
449015.754,7785829.449,-3780.35,top
449515.754,7785829.449,-3804.75,top
450015.754,7785829.449,-3827.18,top
450515.754,7785829.449,-3847.27,top
451015.754,7785829.449,-3865.05,top
451515.754,7785829.449,-3880.9,top
452015.754,7785829.449,-3895.28,top
452515.754,7785829.449,-3908.59,top
453015.754,7785829.449,-3921.12,top
453515.754,7785829.449,-3932.98,top
454015.754,7785829.449,-3944.13,top
454515.754,7785829.449,-3954.56,top
455015.754,7785829.449,-3964.23,top
455515.754,7785829.449,-3973.22,top
456015.754,7785829.449,-3981.77,top
456515.754,7785829.449,-3990.23,top
457015.754,7785829.449,-3999.06,top
457515.754,7785829.449,-4008.83,top
458015.754,7785829.449,-4020.11,top
458515.754,7785829.449,-4033.46,top
459015.754,7785829.449,-4049.55,top
459515.754,7785829.449,-4068.98,top
460015.754,7785829.449,-4091.76,top
460515.754,7785829.449,-4116.56,top
461015.754,7785829.449,-4138.95,top
461515.754,7785829.449,-4148.45,top
462015.754,7785829.449,-4121.68,top
462515.754,7785829.449,-4012.32,top
463015.754,7785829.449,-3863.83,top
463515.754,7785829.449,-3840.89,top
464015.754,7785829.449,-3902.58,top
464515.754,7785829.449,-3871.48,top
465015.754,7785829.449,-3843.96,top
465515.754,7785829.449,-3829.55,top
466015.754,7785829.449,-3785.87,top
466515.754,7785829.449,-3765.96,top
467015.754,7785829.449,-3780.63,top
467515.754,7785829.449,-3683.01,top
468015.754,7785829.449,-4048.33,top
468515.754,7785829.449,-4457.48,top
469015.754,7785829.449,-4592.62,top
469515.754,7785829.449,-4722.18,top
470015.754,7785829.449,-4800.37,top
470515.754,7785829.449,-4853.27,top
471015.754,7785829.449,-4866.72,top
471515.754,7785829.449,-4810.39,top
472015.754,7785829.449,-4717.54,top
472515.754,7785829.449,-4666.56,top
473015.754,7785829.449,-4654.05,top
473515.754,7785829.449,-4658.02,top
474015.754,7785829.449,-4664.55,top
431215.754,7786029.449,-2902.51,top
431515.754,7786029.449,-2922.88,top
432015.754,7786029.449,-2962.18,top
432515.754,7786029.449,-3001.38,top
433015.754,7786029.449,-3040.39,top
433515.754,7786029.449,-3079.13,top
434015.754,7786029.449,-3117.48,top
434515.754,7786029.449,-3155.3,top
435015.754,7786029.449,-3192.39,top
435515.754,7786029.449,-3228.57,top
436015.754,7786029.449,-3263.62,top
436515.754,7786029.449,-3297.32,top
437015.754,7786029.449,-3329.47,top
437515.754,7786029.449,-3359.89,top
438015.754,7786029.449,-3388.42,top
438515.754,7786029.449,-3414.91,top
439015.754,7786029.449,-3439.29,top
439515.754,7786029.449,-3461.48,top
440015.754,7786029.449,-3481.44,top
440515.754,7786029.449,-3499.1,top
441015.754,7786029.449,-3514.5,top
441515.754,7786029.449,-3527.93,top
442015.754,7786029.449,-3539.8,top
442515.754,7786029.449,-3550.57,top
443015.754,7786029.449,-3560.7,top
443515.754,7786029.449,-3570.61,top
444015.754,7786029.449,-3580.69,top
444515.754,7786029.449,-3591.45,top
445015.754,7786029.449,-3603.56,top
445515.754,7786029.449,-3617.75,top
446015.754,7786029.449,-3634.61,top
446515.754,7786029.449,-3654.37,top
447015.754,7786029.449,-3676.85,top
447515.754,7786029.449,-3701.44,top
448015.754,7786029.449,-3727.29,top
448515.754,7786029.449,-3753.47,top
449015.754,7786029.449,-3779.04,top
449515.754,7786029.449,-3803.22,top
450015.754,7786029.449,-3825.41,top
450515.754,7786029.449,-3845.32,top
451015.754,7786029.449,-3863.02,top
451515.754,7786029.449,-3878.87,top
452015.754,7786029.449,-3893.36,top
452515.754,7786029.449,-3906.88,top
453015.754,7786029.449,-3919.73,top
453515.754,7786029.449,-3931.99,top
454015.754,7786029.449,-3943.63,top
454515.754,7786029.449,-3954.55,top
455015.754,7786029.449,-3964.73,top
455515.754,7786029.449,-3974.2,top
456015.754,7786029.449,-3983.18,top
456515.754,7786029.449,-3991.99,top
457015.754,7786029.449,-4001.04,top
457515.754,7786029.449,-4010.84,top
458015.754,7786029.449,-4021.9,top
458515.754,7786029.449,-4034.7,top
459015.754,7786029.449,-4049.87,top
459515.754,7786029.449,-4067.9,top
460015.754,7786029.449,-4088.76,top
460515.754,7786029.449,-4111.15,top
461015.754,7786029.449,-4131.1,top
461515.754,7786029.449,-4139.32,top
462015.754,7786029.449,-4117.02,top
462515.754,7786029.449,-4035.48,top
463015.754,7786029.449,-3947.79,top
463515.754,7786029.449,-4035.54,top
464015.754,7786029.449,-4003.95,top
464515.754,7786029.449,-3820.99,top
465015.754,7786029.449,-3798.79,top
465515.754,7786029.449,-3793.14,top
