X,Y,Z,formation
2000,0,-900,CAMBURI_SUP
2000,1250,-900,CAMBURI_SUP
2000,2500,-950,CAMBURI_SUP
2000,3750,-1000,CAMBURI_SUP
2000,5000,-1050,CAMBURI_SUP
2000,6250,-1100,CAMBURI_SUP
2000,7500,-1200,CAMBURI_SUP
2000,8750,-1300,CAMBURI_SUP
2000,10000,-1350,CAMBURI_SUP
2000,11250,-1200,CAMBURI_SUP
2000,12500,-1200,CAMBURI_SUP
2000,13125,-1200,CAMBURI_SUP
2000,14375,-800,CAMBURI_SUP
2000,15000,-900,CAMBURI_SUP
2000,16250,-1000,CAMBURI_SUP
2000,17500,-1050,CAMBURI_SUP
2000,18750,-1300,CAMBURI_SUP
2000,20000,-1350,CAMBURI_SUP
2000,0,-1550,CAMBURI_SUP
2000,1250,-1750,CAMBURI_SUP
2000,2500,-2000,CAMBURI_SUP
2000,3750,-2450,CAMBURI_SUP
2000,5000,-2800,CAMBURI_SUP
2000,6250,-2950,CAMBURI_SUP
2000,7500,-3050,CAMBURI_SUP
2000,8750,-3050,CAMBURI_SUP
2000,10000,-3000,CAMBURI_SUP
2000,11250,-2500,CAMBURI_SUP
2000,12500,-1900,CAMBURI_SUP
2000,13125,-1900,CAMBURI_SUP
2000,14375,-1500,CAMBURI_SUP
2000,15000,-1850,CAMBURI_SUP
2000,16250,-1900,CAMBURI_SUP
2000,17500,-1900,CAMBURI_SUP
2000,18750,-2000,CAMBURI_SUP
2000,20000,-2300,CAMBURI_SUP
2000,0,-1600,CAMBURI_INF
2000,1250,-1800,CAMBURI_INF
2000,2500,-2050,CAMBURI_INF
2000,3750,-2500,CAMBURI_INF
2000,5000,-2850,CAMBURI_INF
2000,6250,-3000,CAMBURI_INF
2000,7500,-3100,CAMBURI_INF
2000,8750,-3100,CAMBURI_INF
2000,10000,-3050,CAMBURI_INF
2000,11250,-2550,CAMBURI_INF
2000,12500,-1950,CAMBURI_INF
2000,13125,-1950,CAMBURI_INF
2000,14375,-1550,CAMBURI_INF
2000,15000,-1900,CAMBURI_INF
2000,16250,-1950,CAMBURI_INF
2000,17500,-1950,CAMBURI_INF
2000,18750,-2050,CAMBURI_INF
2000,20000,-2350,CAMBURI_INF
2000,0,-3000,CAMBURI_INF
2000,1250,-3250,CAMBURI_INF
2000,2500,-3500,CAMBURI_INF
2000,3750,-3750,CAMBURI_INF
2000,5000,-4250,CAMBURI_INF
2000,6250,-4250,CAMBURI_INF
2000,7500,-4000,CAMBURI_INF
2000,8750,-4400,CAMBURI_INF
2000,10000,-4500,CAMBURI_INF
2000,11250,-4450,CAMBURI_INF
2000,12500,-3700,CAMBURI_INF
2000,13125,-3350,CAMBURI_INF
2000,14375,-4350,CAMBURI_INF
2000,15000,-4600,CAMBURI_INF
2000,16250,-4600,CAMBURI_INF
2000,17500,-4650,CAMBURI_INF
2000,18750,-4800,CAMBURI_INF
2000,20000,-5000,CAMBURI_INF
2000,0,-3050,ARIRI
2000,1250,-3300,ARIRI
2000,2500,-3550,ARIRI
2000,3750,-3800,ARIRI
2000,5000,-4300,ARIRI
2000,6250,-4300,ARIRI
2000,7500,-4050,ARIRI
2000,8750,-4450,ARIRI
2000,10000,-4550,ARIRI
2000,11250,-4500,ARIRI
2000,12500,-3750,ARIRI
2000,13125,-3400,ARIRI
2000,13325,-2400,ARIRI
2000,13525,-1400,ARIRI
2000,13725,-600,ARIRI
2000,13750,-400,ARIRI
2000,13950,-600,ARIRI
2000,14150,-1400,ARIRI
2000,14350,-2400,ARIRI
2000,14375,-4400,ARIRI
2000,15000,-4650,ARIRI
2000,16250,-4650,ARIRI
2000,17500,-4700,ARIRI
2000,18750,-4850,ARIRI
2000,20000,-5050,ARIRI
2000,0,-3400,ARIRI
2000,1250,-3750,ARIRI
2000,2500,-4100,ARIRI
2000,3750,-4500,ARIRI
2000,5000,-4800,ARIRI
2000,6250,-5000,ARIRI
2000,7500,-5200,ARIRI
2000,8750,-5500,ARIRI
2000,10000,-5500,ARIRI
2000,11250,-5350,ARIRI
2000,12500,-5200,ARIRI
2000,13750,-5150,ARIRI
2000,15000,-5150,ARIRI
2000,16250,-5350,ARIRI
2000,17500,-5500,ARIRI
2000,18750,-5750,ARIRI
2000,20000,-5900,ARIRI
2000,0,-3425,BV_SUP
2000,1250,-3775,BV_SUP
2000,2500,-4125,BV_SUP
2000,3750,-4525,BV_SUP
2000,5000,-4825,BV_SUP
2000,6250,-5025,BV_SUP
2000,7500,-5225,BV_SUP
2000,8750,-5525,BV_SUP
2000,10000,-5525,BV_SUP
2000,11250,-5375,BV_SUP
2000,12500,-5225,BV_SUP
2000,13750,-5200,BV_SUP
2000,15000,-5200,BV_SUP
2000,16250,-5400,BV_SUP
2000,17500,-5550,BV_SUP
2000,18750,-5800,BV_SUP
2000,20000,-5950,BV_SUP
2000,0,-3435,BV_SUP
2000,1250,-3785,BV_SUP
2000,2500,-4135,BV_SUP
2000,3750,-4535,BV_SUP
2000,5000,-4835,BV_SUP
2000,6250,-5035,BV_SUP
2000,7500,-5235,BV_SUP
2000,8750,-5535,BV_SUP
2000,10000,-5535,BV_SUP
2000,11250,-5385,BV_SUP
2000,12500,-5235,BV_SUP
2000,13750,-5500,BV_SUP
2000,15000,-5600,BV_SUP
2000,16250,-5900,BV_SUP
2000,17500,-6000,BV_SUP
2000,18750,-6200,BV_SUP
2000,20000,-6400,BV_SUP
2000,0,-3450,BV_INF
2000,1250,-3800,BV_INF
2000,2500,-4150,BV_INF
2000,3750,-4550,BV_INF
2000,5000,-4850,BV_INF
2000,6250,-5050,BV_INF
2000,7500,-5250,BV_INF
2000,8750,-5550,BV_INF
2000,10000,-5550,BV_INF
2000,11250,-5400,BV_INF
2000,12500,-5250,BV_INF
2000,13750,-5550,BV_INF
2000,15000,-5650,BV_INF
2000,16250,-5950,BV_INF
2000,17500,-6050,BV_INF
2000,18750,-6250,BV_INF
2000,20000,-6450,BV_INF
2000,0,-4000,BV_INF
2000,1250,-4300,BV_INF
2000,2500,-4600,BV_INF
2000,3750,-5000,BV_INF
2000,5000,-5200,BV_INF
2000,6250,-5500,BV_INF
2000,7500,-5850,BV_INF
2000,8750,-6000,BV_INF
2000,10000,-6300,BV_INF
2000,11250,-6450,BV_INF
2000,12500,-6700,BV_INF
2000,13750,-6800,BV_INF
2000,15000,-6900,BV_INF
2000,16250,-7100,BV_INF
2000,17500,-7300,BV_INF
2000,18750,-7500,BV_INF
2000,20000,-7700,BV_INF
2000,0,-4050,ITAPEMA
2000,1250,-4350,ITAPEMA
2000,2500,-4650,ITAPEMA
2000,3750,-5050,ITAPEMA
2000,5000,-5250,ITAPEMA
2000,6250,-5550,ITAPEMA
2000,7500,-5900,ITAPEMA
2000,8750,-6050,ITAPEMA
2000,10000,-6350,ITAPEMA
2000,11250,-6500,ITAPEMA
2000,12500,-6750,ITAPEMA
2000,13750,-6850,ITAPEMA
2000,15000,-6950,ITAPEMA
2000,16250,-7150,ITAPEMA
2000,17500,-7350,ITAPEMA
2000,18750,-7550,ITAPEMA
2000,20000,-7750,ITAPEMA
2000,0,-5000,ITAPEMA
2000,1250,-5200,ITAPEMA
2000,2500,-5600,ITAPEMA
2000,3750,-6000,ITAPEMA
2000,5000,-6500,ITAPEMA
2000,6250,-6800,ITAPEMA
2000,7500,-7000,ITAPEMA
2000,8750,-7200,ITAPEMA
2000,10000,-7500,ITAPEMA
2000,11250,-7600,ITAPEMA
2000,12500,-7700,ITAPEMA
2000,13750,-7800,ITAPEMA
2000,15000,-8000,ITAPEMA
2000,16250,-8100,ITAPEMA
2000,17500,-8400,ITAPEMA
2000,18750,-8600,ITAPEMA
2000,20000,-9000,ITAPEMA
2000,0,-5050,CAMBORIU
2000,1250,-5250,CAMBORIU
2000,2500,-5650,CAMBORIU
2000,3750,-6050,CAMBORIU
2000,5000,-6550,CAMBORIU
2000,6250,-6850,CAMBORIU
2000,7500,-7050,CAMBORIU
2000,8750,-7250,CAMBORIU
2000,10000,-7550,CAMBORIU
2000,11250,-7650,CAMBORIU
2000,12500,-7750,CAMBORIU
2000,13750,-7850,CAMBORIU
2000,15000,-8050,CAMBORIU
2000,16250,-8150,CAMBORIU
2000,17500,-8450,CAMBORIU
2000,18750,-8650,CAMBORIU
2000,20000,-9050,CAMBORIU
2000,0,-11000,CAMBORIU
2000,1250,-11000,CAMBORIU
2000,2500,-11000,CAMBORIU
2000,3750,-11000,CAMBORIU
2000,5000,-11000,CAMBORIU
2000,6250,-11000,CAMBORIU
2000,7500,-11000,CAMBORIU
2000,8750,-11000,CAMBORIU
2000,10000,-11000,CAMBORIU
2000,11250,-11000,CAMBORIU
2000,12500,-11000,CAMBORIU
2000,13750,-11000,CAMBORIU
2000,15000,-11000,CAMBORIU
2000,16250,-11000,CAMBORIU
2000,17500,-11000,CAMBORIU
2000,18750,-11000,CAMBORIU
2000,20000,-11000,CAMBORIU
